{'loss': '9.075', 'grad_norm': '8.318', 'learning_rate': '0.0009963', 'epoch': '0.04158'}
{'loss': '6.789', 'grad_norm': '3.296', 'learning_rate': '0.0009921', 'epoch': '0.08316'}
{'loss': '6.519', 'grad_norm': '1.46', 'learning_rate': '0.000988', 'epoch': '0.1247'}
{'loss': '6.144', 'grad_norm': '1.466', 'learning_rate': '0.0009838', 'epoch': '0.1663'}
{'loss': '6.198', 'grad_norm': '1.293', 'learning_rate': '0.0009797', 'epoch': '0.2079'}
{'loss': '6.125', 'grad_norm': '1.164', 'learning_rate': '0.0009755', 'epoch': '0.2495'}
{'loss': '6.053', 'grad_norm': '0.9191', 'learning_rate': '0.0009714', 'epoch': '0.2911'}
{'loss': '6.034', 'grad_norm': '0.9001', 'learning_rate': '0.0009672', 'epoch': '0.3326'}
{'loss': '5.962', 'grad_norm': '0.7368', 'learning_rate': '0.0009631', 'epoch': '0.3742'}
{'loss': '5.878', 'grad_norm': '0.9676', 'learning_rate': '0.0009589', 'epoch': '0.4158'}
{'loss': '5.998', 'grad_norm': '0.8825', 'learning_rate': '0.0009548', 'epoch': '0.4574'}
{'loss': '5.865', 'grad_norm': '0.7371', 'learning_rate': '0.0009506', 'epoch': '0.499'}
{'loss': '5.605', 'grad_norm': '0.7212', 'learning_rate': '0.0009465', 'epoch': '0.5405'}
{'loss': '5.952', 'grad_norm': '1.051', 'learning_rate': '0.0009423', 'epoch': '0.5821'}
{'loss': '5.63', 'grad_norm': '0.7872', 'learning_rate': '0.0009382', 'epoch': '0.6237'}
{'loss': '5.904', 'grad_norm': '0.77', 'learning_rate': '0.000934', 'epoch': '0.6653'}
{'loss': '5.954', 'grad_norm': '0.6455', 'learning_rate': '0.0009299', 'epoch': '0.7069'}
{'loss': '6.061', 'grad_norm': '0.547', 'learning_rate': '0.0009257', 'epoch': '0.7484'}
{'loss': '5.737', 'grad_norm': '0.6693', 'learning_rate': '0.0009216', 'epoch': '0.79'}
{'loss': '5.903', 'grad_norm': '0.5651', 'learning_rate': '0.0009174', 'epoch': '0.8316'}
{'loss': '5.804', 'grad_norm': '0.6166', 'learning_rate': '0.0009133', 'epoch': '0.8732'}
{'loss': '5.728', 'grad_norm': '0.6133', 'learning_rate': '0.0009091', 'epoch': '0.9148'}
{'loss': '5.627', 'grad_norm': '0.8139', 'learning_rate': '0.000905', 'epoch': '0.9563'}
{'loss': '5.756', 'grad_norm': '0.6369', 'learning_rate': '0.0009008', 'epoch': '0.9979'}
{'loss': '5.657', 'grad_norm': '0.627', 'learning_rate': '0.0008967', 'epoch': '1.037'}
{'loss': '5.701', 'grad_norm': '0.5977', 'learning_rate': '0.0008925', 'epoch': '1.079'}
{'loss': '5.502', 'grad_norm': '0.6207', 'learning_rate': '0.0008884', 'epoch': '1.121'}
{'loss': '5.679', 'grad_norm': '0.511', 'learning_rate': '0.0008842', 'epoch': '1.162'}
{'loss': '5.736', 'grad_norm': '0.506', 'learning_rate': '0.0008801', 'epoch': '1.204'}
{'loss': '5.781', 'grad_norm': '0.6316', 'learning_rate': '0.0008759', 'epoch': '1.245'}
{'loss': '5.736', 'grad_norm': '0.5662', 'learning_rate': '0.0008718', 'epoch': '1.287'}
{'loss': '5.7', 'grad_norm': '0.8256', 'learning_rate': '0.0008676', 'epoch': '1.328'}
{'loss': '5.737', 'grad_norm': '0.7041', 'learning_rate': '0.0008635', 'epoch': '1.37'}
{'loss': '5.677', 'grad_norm': '0.6595', 'learning_rate': '0.0008593', 'epoch': '1.412'}
{'loss': '5.665', 'grad_norm': '0.5287', 'learning_rate': '0.0008552', 'epoch': '1.453'}
{'loss': '5.659', 'grad_norm': '0.5955', 'learning_rate': '0.000851', 'epoch': '1.495'}
{'loss': '5.782', 'grad_norm': '0.5797', 'learning_rate': '0.0008469', 'epoch': '1.536'}
{'loss': '5.666', 'grad_norm': '0.5315', 'learning_rate': '0.0008427', 'epoch': '1.578'}
{'loss': '5.585', 'grad_norm': '0.4848', 'learning_rate': '0.0008386', 'epoch': '1.62'}
{'loss': '5.715', 'grad_norm': '0.529', 'learning_rate': '0.0008344', 'epoch': '1.661'}
{'loss': '5.684', 'grad_norm': '0.5129', 'learning_rate': '0.0008303', 'epoch': '1.703'}
{'loss': '5.763', 'grad_norm': '0.7047', 'learning_rate': '0.0008261', 'epoch': '1.744'}
{'loss': '5.555', 'grad_norm': '8.656', 'learning_rate': '0.000822', 'epoch': '1.786'}
{'loss': '5.675', 'grad_norm': '2.207', 'learning_rate': '0.0008178', 'epoch': '1.827'}
{'loss': '5.611', 'grad_norm': '33.9', 'learning_rate': '0.0008137', 'epoch': '1.869'}
{'loss': '5.771', 'grad_norm': '3.057', 'learning_rate': '0.0008095', 'epoch': '1.911'}
{'loss': '5.628', 'grad_norm': '30.59', 'learning_rate': '0.0008054', 'epoch': '1.952'}
{'loss': '5.743', 'grad_norm': '7.404e+13', 'learning_rate': '0.0008012', 'epoch': '1.994'}
{'loss': '5.54', 'grad_norm': '1.846e+15', 'learning_rate': '0.0007971', 'epoch': '2.033'}
{'loss': '5.738', 'grad_norm': '8.64e+06', 'learning_rate': '0.0007929', 'epoch': '2.075'}
{'loss': '5.712', 'grad_norm': '14.93', 'learning_rate': '0.0007888', 'epoch': '2.116'}
{'loss': '7.088', 'grad_norm': '3.975', 'learning_rate': '0.0007846', 'epoch': '2.158'}
{'loss': '16.42', 'grad_norm': '136.2', 'learning_rate': '0.0007805', 'epoch': '2.2'}
{'loss': '17.06', 'grad_norm': '9.746e+06', 'learning_rate': '0.0007763', 'epoch': '2.241'}
{'loss': '8.733', 'grad_norm': '1.422', 'learning_rate': '0.0007722', 'epoch': '2.283'}
{'loss': '6.335', 'grad_norm': '1.287', 'learning_rate': '0.000768', 'epoch': '2.324'}
{'loss': '6.092', 'grad_norm': '1.17', 'learning_rate': '0.0007639', 'epoch': '2.366'}
{'loss': '6.02', 'grad_norm': '1.156', 'learning_rate': '0.0007598', 'epoch': '2.407'}
{'loss': '5.978', 'grad_norm': '0.9071', 'learning_rate': '0.0007556', 'epoch': '2.449'}
{'loss': '6.029', 'grad_norm': '1.134', 'learning_rate': '0.0007515', 'epoch': '2.491'}
{'loss': '5.913', 'grad_norm': '0.9758', 'learning_rate': '0.0007473', 'epoch': '2.532'}
{'loss': '5.848', 'grad_norm': '0.8782', 'learning_rate': '0.0007432', 'epoch': '2.574'}
{'loss': '6.054', 'grad_norm': '0.7501', 'learning_rate': '0.000739', 'epoch': '2.615'}
{'loss': '5.994', 'grad_norm': '0.889', 'learning_rate': '0.0007349', 'epoch': '2.657'}
{'loss': '5.812', 'grad_norm': '0.8489', 'learning_rate': '0.0007307', 'epoch': '2.699'}
{'loss': '18.64', 'grad_norm': '2.438', 'learning_rate': '0.0007266', 'epoch': '2.74'}
{'loss': '5.869', 'grad_norm': '1.11', 'learning_rate': '0.0007224', 'epoch': '2.782'}
{'loss': '5.793', 'grad_norm': '0.8311', 'learning_rate': '0.0007183', 'epoch': '2.823'}
{'loss': '6.119', 'grad_norm': '1215', 'learning_rate': '0.0007141', 'epoch': '2.865'}
{'loss': '5.847', 'grad_norm': '0.9067', 'learning_rate': '0.00071', 'epoch': '2.906'}
{'loss': '5.657', 'grad_norm': '0.7549', 'learning_rate': '0.0007058', 'epoch': '2.948'}
{'loss': '5.783', 'grad_norm': '0.7982', 'learning_rate': '0.0007017', 'epoch': '2.99'}
{'loss': '5.659', 'grad_norm': '1.058', 'learning_rate': '0.0006975', 'epoch': '3.029'}
{'loss': '5.792', 'grad_norm': '0.6954', 'learning_rate': '0.0006934', 'epoch': '3.071'}
{'loss': '5.74', 'grad_norm': '0.6983', 'learning_rate': '0.0006892', 'epoch': '3.112'}
{'loss': '5.584', 'grad_norm': '0.7347', 'learning_rate': '0.0006851', 'epoch': '3.154'}
